input,time
0,0.0
1,9.2
2,18.59
3,27.67
4,37.56
5,47.97
6,56.96
7,66.48
8,76.36
9,85.63
10,95.82
11,105.77
12,115.07
13,124.33
14,133.74
15,144.06
16,152.92
17,162.23
18,171.96
19,180.97
20,190.59
21,199.72
22,209.26
23,217.76
24,227.09
25,236.77
26,246.1
27,255.89
28,264.74
29,275.32
30,285.51
31,294.22
32,303.35
33,313.11
34,322.32
35,331.09
36,340.52
37,350.82
38,360.83
39,370.53
40,379.45
41,389.19
42,398.98
43,408.86
44,418.71
45,427.66
46,437.7
47,447.38
48,456.58
49,465.78
50,475.45
51,485.69
52,495.24
53,504.56
54,513.66
55,522.49
56,531.97
57,541.52
58,551.78
59,561.57
60,571.21
61,580.66
62,590.58
63,600.94
64,610.35
65,619.67
66,629.24
67,637.98
68,647.75
69,658.3
70,667.1
71,677.06
72,686.45
73,695.38
74,705.7
75,714.15
76,724.15
77,733.7
78,742.82
79,752.43
80,761.8
81,771.99
82,781.72
83,791.58
84,801.12
85,810.91
86,820.83
87,829.75
88,839.27
89,848.59
90,857.96
91,867.76
92,877.09
93,886.17
94,895.73
95,905.0
96,914.69
97,924.31
98,934.19
99,943.4
100,952.93
101,962.46
102,971.84
103,981.7
104,991.11
105,1000.34
106,1009.78
107,1019.51
108,1028.5
109,1038.46
110,1048.79
111,1058.43
112,1067.48
113,1077.0
114,1086.7
115,1096.12
116,1105.32
117,1114.25
118,1123.68
119,1133.76
120,1142.84
121,1152.62
122,1162.9
123,1172.83
124,1182.24
125,1190.82
126,1200.5
127,1209.79
128,1219.47
129,1228.42
130,1237.84
131,1247.95
132,1256.53
133,1265.53
134,1275.29
135,1284.21
136,1293.5
137,1303.04
138,1312.92
139,1322.81
140,1331.88
141,1341.39
142,1350.16
143,1359.58
144,1369.69
145,1379.67
146,1389.48
147,1399.3
148,1408.49
149,1417.61
150,1427.7
151,1437.3
152,1446.64
153,1456.43
154,1466.18
155,1475.37
156,1484.71
157,1494.35
158,1503.53
159,1513.08
160,1522.29
161,1531.48
162,1541.07
163,1550.66
164,1560.36
165,1569.53
166,1579.6
167,1589.05
168,1598.85
169,1608.6
170,1618.24
171,1626.83
172,1635.63
173,1644.81
174,1653.97
175,1662.88
176,1672.51
177,1681.76
178,1690.71
179,1699.72
180,1709.27
181,1718.19
182,1728.04
183,1737.93
184,1747.45
185,1756.87
186,1766.46
187,1775.71
188,1784.85
189,1795.2
190,1804.7
191,1814.44
192,1824.33
193,1833.95
194,1843.95
195,1853.59
196,1862.81
197,1872.96
198,1882.29
199,1891.98
200,1901.9
201,1911.17
202,1920.66
203,1930.45
204,1940.01
205,1949.59
206,1959.39
207,1969.51
208,1979.55
209,1988.63
210,1997.67
211,2007.19
212,2016.65
213,2026.58
214,2035.69
215,2044.43
216,2053.95
217,2063.34
218,2073.2
219,2082.48
220,2091.52
221,2100.59
222,2109.17
223,2118.06
224,2127.57
225,2137.37
226,2146.43
227,2155.87
228,2164.63
229,2175.0
230,2185.7
231,2195.04
232,2204.28
233,2214.16
234,2223.44
235,2232.85
236,2241.55
237,2251.91
238,2261.07
239,2270.48
240,2279.72
241,2289.28
242,2298.09
243,2307.17
244,2317.08
245,2326.33
246,2335.97
247,2345.58
248,2354.35
249,2364.33
250,2374.53
251,2384.01
252,2393.64
253,2403.27
254,2412.48
255,2422.52
