input,time
0,4.0897099999999975
1,9.088870000000002
2,15.248359999999998
3,21.061459999999993
4,27.02624000000001
5,33.93811
6,40.05192000000002
7,45.97089000000001
8,52.01153000000002
9,60.79483000000001
10,73.97506
11,75.16001999999997
12,78.46423
13,89.22659000000002
14,92.55943999999998
15,98.15155
16,112.82897999999997
17,111.48306000000002
18,1103.27549
19,123.88082000000003
20,226.34128000000015
21,141.06436999999997
22,142.32655999999994
23,160.76337999999996
24,154.93080000000006
25,177.09445
26,168.52335
27,180.19967
28,193.8155100000001
29,242.84291000000005
30,284.33658999999994
31,210.1371900000001
32,213.32325
33,236.86678
34,246.4884900000001
35,241.74051000000003
36,279.20363999999995
37,258.64507000000003
38,266.3882300000001
39,366.38102000000003
40,285.53583000000003
41,311.54628000000014
42,322.23694000000023
43,358.29716
44,305.5337499999999
45,321.6399899999999
46,325.9559000000001
47,384.4382799999998
48,337.4171200000001
49,344.05057000000016
50,356.57019000000014
51,374.48955000000007
52,384.1597000000001
53,404.8658799999999
54,396.2324400000001
55,383.98737000000006
56,409.16750000000013
57,518.7386399999999
58,433.2479000000001
59,432.4553299999999
60,481.5079699999999
61,439.5610699999999
62,469.63075
63,541.4443200000001
64,467.3684900000002
65,479.19685999999996
66,492.07631999999984
67,507.06764000000004
68,500.4985800000002
69,499.6363500000001
70,522.5567800000002
71,516.7174200000001
72,636.1713800000001
73,569.6719800000001
74,582.1838499999999
75,620.44699
76,622.63794
77,615.4219400000003
78,668.5839800000001
79,648.6914500000001
80,660.4704799999998
81,638.5927799999998
82,709.2457000000002
83,701.0172799999999
84,706.3260400000004
85,690.42082
86,719.36862
87,703.48515
88,713.25747
89,989.0570700000001
90,872.5997800000001
91,972.4083599999998
92,729.45981
93,879.5233899999998
94,914.2893899999997
95,778.4023599999999
96,883.66777
97,751.3286300000001
98,780.4789799999998
99,880.8342899999999
100,812.95962
101,801.7433600000004
102,841.60396
103,841.9488100000001
104,903.10116
105,876.9380599999994
106,978.3547000000003
107,1091.8141500000006
108,971.3754800000003
109,919.9550099999999
110,975.6180700000001
111,924.3598900000002
112,944.6480700000002
113,956.3754200000002
114,1008.5735299999998
115,946.1826399999997
116,962.83337
117,1077.6790299999998
118,951.95509
119,1201.0432300000004
120,1294.71302
121,1123.2498899999998
122,1134.1629500000004
123,1025.7520299999999
124,1095.4359999999997
125,1041.5777199999998
126,1130.9503999999997
127,1223.2023
128,1261.31871
129,1075.2161199999998
130,1099.7556000000002
131,1131.5914699999996
132,1175.60539
133,1141.67707
134,1162.0789799999993
135,1167.0891900000001
136,1273.9217500000004
137,1218.3749599999999
138,1221.7362600000001
139,1249.8888399999998
140,1254.9781600000001
141,1277.7325400000004
142,1271.6307800000002
143,1308.2984499999998
144,1420.24354
145,1389.2731099999996
146,1404.3401699999997
147,1283.7854499999996
148,1404.36294
149,1331.2429500000005
150,1397.2530000000002
151,1395.8298299999997
152,1396.4440200000006
153,1557.9824699999997
154,1652.50934
155,1609.0359499999995
156,1555.2262299999995
157,1495.4631699999993
158,1488.94798
159,1533.2161100000005
160,1463.73703
161,1481.1403999999995
162,1562.0249099999994
163,1451.6777699999993
164,1561.7820000000004
165,1491.03315
166,1590.1738599999999
167,1513.2560499999995
168,1594.4279400000003
169,1588.0992899999997
170,1622.89531
171,1565.5784899999996
172,1928.2330800000002
173,1725.98175
174,1646.0562900000002
175,1665.05555
176,1758.5230399999998
177,1891.8684399999997
178,1782.4237400000006
179,1745.1616200000008
180,1724.4778499999998
181,1823.5932300000004
182,1752.7109099999996
183,1697.7804500000004
184,1725.7837199999997
185,1790.3301900000004
186,1781.4475400000001
187,1793.4673699999994
188,1787.91303
189,1961.3556199999998
190,1834.57827
191,1828.1002299999998
192,1879.5521500000002
193,1800.84702
194,1853.9206200000003
195,1921.85802
196,1982.7436900000002
197,1968.81311
198,1885.6448599999997
199,1956.8871600000002
200,1987.81948
201,1919.5821700000006
202,1939.0303300000012
203,1944.1540799999993
204,1915.4475600000005
205,1954.8303199999998
206,2106.1366300000004
207,2002.5364699999998
208,2073.84091
209,2142.7861100000005
210,2053.24808
211,2100.75527
212,2239.93502
213,2093.1179599999996
214,2114.8431
215,2130.4924699999997
216,2379.8407500000003
217,2117.6035500000003
218,2287.3610299999996
219,2225.85015
220,2351.0258899999994
221,2178.5615400000006
222,2185.6895200000013
223,2164.7797599999994
224,2186.9022899999986
225,2294.93498
226,2287.2743199999995
227,2313.7837600000003
228,2342.5048500000003
229,2351.84425
230,2502.37152
231,2304.5899799999993
232,2338.714690000001
233,2416.3922799999996
234,2438.80426
235,2728.3736300000005
236,2352.6624900000006
237,2335.8344099999995
238,2440.09936
239,2408.88818
240,2439.76649
241,2432.59058
242,2445.5054000000005
243,2498.7777099999994
244,2582.272289999999
245,2578.5548300000005
246,2497.114240000001
247,2551.979059999999
248,2566.31524
249,2502.9687099999996
250,2533.1826699999992
251,2594.5071700000003
252,2776.1965200000004
253,2582.71381
254,2791.0724100000016
255,2757.77412
