input,time
0,0.0
1,0.0
2,0.001
3,0.0
4,0.0
5,0.001
6,0.001
7,0.0
8,0.0
9,0.001
10,0.001
11,0.003
12,0.0
13,0.004
14,0.004
15,0.018000000000000002
16,0.003
17,0.001
18,0.0
19,0.009000000000000001
20,0.020000000000000004
21,0.043
22,0.023000000000000007
23,0.011000000000000003
24,0.001
25,0.002
26,0.006
27,0.005
28,0.004
29,0.001
30,0.003
31,0.0
32,0.006
33,0.006
34,0.003
35,0.002
36,0.020000000000000004
37,0.003
38,0.007
39,0.007
40,0.004
41,0.016000000000000007
42,0.026000000000000002
43,0.010000000000000002
44,0.021
45,0.020000000000000004
