input,time
0,15.126
1,18.804
2,27.084
3,39.704
4,44.441
5,57.776
6,64.362
7,76.026
8,83.285
9,104.046
10,104.268
11,109.372
12,116.137
13,129.502
14,160.038
15,159.66
16,169.575
17,579.021
18,197.727
19,227.659
20,322.11
21,241.035
22,261.099
23,277.79
24,273.532
25,276.793
26,310.982
27,312.93
28,322.101
29,343.601
30,337.117
31,365.672
32,537.642
33,2229.616
34,575.411
35,445.856
36,421.776
37,469.564
38,1364.308
39,776.715
40,541.144
41,487.917
42,533.528
43,511.478
44,489.447
45,518.445
46,529.492
47,535.066
48,566.973
49,576.967
50,575.253
51,605.543
52,634.113
53,681.346
54,948.003
55,778.154
56,707.582
57,746.288
58,1088.979
59,2498.098
60,880.05
61,839.86
62,823.406
63,791.533
64,793.478
65,809.395
66,872.997
67,802.405
68,864.882
69,1694.051
70,1999.524
71,513.996
72,526.879
73,3971.287
74,966.978
75,1572.769
76,599.058
77,556.783
78,558.368
79,573.977
80,595.491
81,603.713
82,110605.048
83,652.385
84,617.621
85,664.62
86,717.322
87,678.038
88,690.917
89,692.774
90,700.868
91,757.623
92,847.886
93,863.518
94,798.668
95,773.15
96,1862.356
97,807.63
98,827.816
99,1628.076
100,802.91
101,823.25
102,1005.513
103,876.094
104,839.146
105,844.283
106,924.528
107,9635.2
108,987.277
109,941.4
110,1077.043
111,980.538
112,925.508
113,1048.342
114,1012.538
115,1034.332
116,2188.588
117,1077.027
118,1019.517
119,998.402
120,1027.151
121,996.303
122,1007.2
123,1071.638
124,1005.649
125,14600.723
126,1160.168
127,1036.478
128,1082.323
129,2244.509
130,1096.566
131,1106.099
132,2121.13
133,1933.248
134,1955.756
135,1190.915
136,1248.332
137,1399.28
138,1217.93
139,1677.758
140,1294.913
141,1236.695
142,13786.144
143,1204.763
144,2001.728
145,1344.681
146,7160.844
147,1699.736
148,1244.557
149,1271.712
150,1272.934
151,1264.46
152,1816.511
153,17144.318
154,2089.001
155,1318.306
156,1325.955
157,1380.123
158,1598.539
159,24817.171
160,4118.116
161,2395.253
162,1523.65
163,3865.086
164,2775.839
165,3731.357
166,2228.172
167,2852.349
168,2930.896
169,1973.644
170,1629.14
171,6433.06
172,2686.188
173,38919.654
174,3044.53
175,40541.156
176,4113.226
177,3863.943
178,7698.023
179,6757.837
180,2302.44
181,2337.448
182,5017.412
183,41436.484
184,2843.743
185,5418.414
186,6920.642
187,1990.839
188,2165.75
189,1906.178
190,1930.778
191,1922.115
192,60324.489
193,2284.749
194,2140.338
195,2706.985
196,3832.383
197,27660.363
198,12039.064
199,1890.987
200,4136.452
201,2472.48
202,2028.08
203,3077.027
204,2098.081
205,1994.088
206,1877.791
207,1877.068
208,7372.573
209,3963.755
210,2716.018
211,2914.321
212,12114.325
213,2497.325
214,6737.322
215,2745.093
216,3666.869
217,35472.387
218,4065.969
219,2432.15
220,5142.114
221,3570.496
222,3277.482
223,2242.567
224,6048.196
225,3074.828
226,2151.174
227,2359.22
228,3140.868
229,10167.315
230,2176.06
231,2805.203
232,6491.489
233,4352.549
234,2287.599
235,2297.245
236,2321.428
237,3015.01
238,2767.944
239,2468.985
240,2571.578
241,4107.648
242,7811.237
243,2676.082
244,2560.565
245,2347.47
246,2898.391
247,9047.81
248,4685.521
249,8126.412
250,6753.137
251,11553.106
252,8534.75
253,11744.354
254,10212.752
255,6617.412
