input,time
0,0.0
1,7.0
2,13.0
3,21.0
4,29.0
5,34.0
6,36.0
7,40.0
8,44.0
9,49.0
10,51.0
11,60.0
12,68.0
13,74.0
14,83.0
15,92.0
16,99.0
17,102.0
18,104.0
19,111.0
20,118.0
21,121.0
22,123.0
23,125.0
24,129.0
25,134.0
26,137.0
27,142.0
28,145.0
29,148.0
30,158.0
31,163.0
32,170.0
33,177.0
34,183.0
35,185.0
36,191.0
37,197.0
38,201.0
39,207.0
40,211.0
41,214.0
42,223.0
43,228.0
44,235.0
45,245.0
46,263.0
47,269.0
48,274.0
49,284.0
50,291.0
51,294.0
52,296.0
53,304.0
54,307.0
55,315.0
56,325.0
57,335.0
58,344.0
59,348.0
60,352.0
61,358.0
62,376.0
63,388.0
64,398.0
65,402.0
66,406.0
67,408.0
68,417.0
69,424.0
70,434.0
71,443.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
